season,week,manager,pts,R,RBI,SB,BB,HBP,1B,2B,3B,HR,TB
2021,10,Rich,124,21,19,2,15,7,0,0,0,0,56
2021,10,Rouse,199.5,28,35,5,15,1,0,0,0,0,110
2021,10,Dave,146,22,26,0,22,6,0,0,0,0,71
2021,11,Boyce,256,36,50,2,33,0,0,0,0,0,125
2021,11,Ulmer,218,36,37,4,22,3,0,0,0,0,103
2021,11,Garth,216.5,36,32,2,25,2,0,0,0,0,125
2021,11,Chris,205.5,35,31,3,24,2,0,0,0,0,109
2021,11,Andy,245.5,37,43,2,28,2,0,0,0,0,131
2021,11,Sam,252,43,42,6,29,1,0,0,0,0,110
2021,11,Howard,291,49,47,8,30,6,0,0,0,0,129
2021,11,Rich,197.5,30,35,2,16,3,0,0,0,0,108
2021,11,Rouse,226.5,38,31,7,28,2,0,0,0,0,119
2021,11,Dave,234.5,37,38,4,23,3,0,0,0,0,127
2021,12,Boyce,225,37,30,8,37,2,0,0,0,0,108
2021,12,Ulmer,216.5,36,32,5,31,5,0,0,0,0,105
2021,12,Garth,213.5,29,40,3,27,5,0,0,0,0,105
2021,12,Chris,211,32,35,5,24,4,0,0,0,0,105
2021,12,Andy,241.5,41,38,4,30,2,0,0,0,0,117
2021,12,Sam,240,36,41,5,27,4,0,0,0,0,119
2021,12,Howard,206,32,35,2,30,2,0,0,0,0,100
2021,12,Rich,185.5,29,31,2,26,5,0,0,0,0,92
2021,12,Rouse,211,32,34,4,26,1,0,0,0,0,114
2021,12,Dave,206,34,30,2,49,2,0,0,0,0,93
2021,13,Boyce,262.5,45,39,5,34,3,0,0,0,0,128
2021,13,Ulmer,284,44,49,7,36,3,0,0,0,0,127
2021,13,Garth,282.5,47,50,3,28,2,0,0,0,0,134
2021,13,Chris,222.5,37,35,6,35,3,0,0,0,0,94
2021,13,Andy,185,34,28,1,15,4,0,0,0,0,99
2021,13,Sam,201.5,35,31,3,30,4,0,0,0,0,90
2021,13,Howard,269,46,40,6,25,3,0,0,0,0,140
2021,13,Rich,204.5,32,35,2,29,6,0,0,0,0,97
2021,13,Rouse,263.5,46,35,8,36,0,0,0,0,0,134
2021,13,Dave,216,38,35,3,20,3,0,0,0,0,105
2021,14,Boyce,254.5,37,43,5,25,10,0,0,0,0,133
2021,14,Ulmer,238,36,44,3,25,4,0,0,0,0,115
2021,14,Garth,207,36,31,3,31,0,0,0,0,0,101
2021,14,Chris,232,39,37,3,32,3,0,0,0,0,111
2021,14,Andy,245.5,39,44,3,28,2,0,0,0,0,114
2021,14,Sam,237,41,35,7,23,2,0,0,0,0,116
2021,14,Howard,232.5,34,41,4,25,2,0,0,0,0,120
2021,14,Rich,228,37,41,3,18,5,0,0,0,0,108
2021,14,Rouse,198.5,33,32,2,35,2,0,0,0,0,91
2021,14,Dave,236,37,41,3,23,7,0,0,0,0,118
2021,15,Boyce,318.5,46,52,8,29,2,0,0,0,0,153
2021,15,Ulmer,340,56,60,1,30,6,0,0,0,0,175
2021,15,Garth,353.5,59,49,11,48,5,0,0,0,0,178
2021,15,Chris,381.5,63,61,8,40,4,0,0,0,0,190
2021,15,Andy,306.5,52,53,3,28,6,0,0,0,0,146
2021,15,Sam,372,57,63,6,29,8,0,0,0,0,203
2021,15,Howard,310,49,54,4,26,4,0,0,0,0,157
2021,15,Rich,263.5,39,47,6,30,10,0,0,0,0,117
2021,15,Rouse,372,66,51,9,39,6,0,0,0,0,195
2021,15,Dave,362,60,59,7,46,7,0,0,0,0,167
2021,16,Boyce,197,29,34,3,25,2,0,0,0,0,103
2021,16,Ulmer,269.5,45,46,2,29,4,0,0,0,0,133
2021,16,Garth,186.5,37,22,2,26,2,0,0,0,0,100
2021,16,Chris,241.5,40,39,4,28,1,0,0,0,0,119
2021,16,Andy,169,28,26,2,21,8,0,0,0,0,84
2021,16,Sam,261.5,45,38,11,22,8,0,0,0,0,117
